"INDIVIDUAL_ID","SPECIES","CLASS","HYBRID_ZONE","REFERENCE_SP","H_INDEX","GENETIC_SP","GENOME_WIDE","LOCALITY"
"17218","colchica","I","colchica_fragilis","fragilis",0.296,"FRAGILIS",0.32,"Rýmařov-Stránské"
"17219","colchica","I","colchica_fragilis","fragilis",0.282,"FRAGILIS",0.1,"Křišťanovice-1"
"17220","colchica","I","colchica_fragilis","fragilis",0.311,"FRAGILIS",0.0600000000000001,"Norberčany"
"17221","colchica","I","colchica_fragilis","fragilis",0.741,"FRAGILIS",0.0600000000000001,"Břidličná"
"17222","colchica","I","colchica_fragilis","fragilis",0.5,"FRAGILIS",0.0600000000000001,"Břidličná"
"17223","colchica","I","colchica_fragilis","fragilis",0.394,"FRAGILIS",0.4,"Dolní-Moravice-2"
"17224","colchica","I","colchica_fragilis","fragilis",0.19,"FRAGILIS",0.27,"Rýmařov-Stránské"
"17225","colchica","I","colchica_fragilis","fragilis",0.665,"FRAGILIS",0.08,"Křišťanovice-1"
"17226","colchica","I","colchica_fragilis","fragilis",0.612,"FRAGILIS",0.05,"Valšov"
"17227","colchica","I","colchica_fragilis","fragilis",0.33,"FRAGILIS",0.07,"Valšov"
"17228","colchica","I","colchica_fragilis","fragilis",0.806,"FRAGILIS",0.38,"Dolní-Moravice"
"17229","colchica","I","colchica_fragilis","fragilis",0.683,"FRAGILIS",0.47,"Dolní-Moravice"
"17230","colchica","I","colchica_fragilis","fragilis",0.506,"FRAGILIS",0.45,"Dolní-Moravice"
"17232","colchica","I","colchica_fragilis","fragilis",0.787,"FRAGILIS",0.04,"Odry-Dobešov-2"
"17235","colchica","I","colchica_fragilis","fragilis",0.573,"FRAGILIS",0.05,"Břidličná"
"17236","colchica","I","colchica_fragilis","fragilis",0.232,"FRAGILIS",0.08,"Křišťanovice-1"
"17237","colchica","I","colchica_fragilis","fragilis",0.257,"FRAGILIS",0.1,"Dvorce"
"17238","colchica","I","colchica_fragilis","fragilis",0.897,"FRAGILIS",0.05,"Křišťanovice-3"
"17239","colchica","I","colchica_fragilis","fragilis",0.484,"FRAGILIS",0.09,"Roudno-1"
"17240","colchica","I","colchica_fragilis","fragilis",0.128,"FRAGILIS",0.05,"Valšov"
"17244","colchica","I","colchica_fragilis","fragilis",0.528,"FRAGILIS",0.01,"Dobroslavice"
"17246","colchica","I","colchica_fragilis","fragilis",0.415,"FRAGILIS",0.29,"Rýmařov-Stránské"
"17247","colchica","I","colchica_fragilis","fragilis",0.528,"FRAGILIS",0.19,"Holčovice-Komora"
"17248","colchica","I","colchica_fragilis","fragilis",0.174,"FRAGILIS",0.05,"Fulnek-2"
"17249","colchica","I","colchica_fragilis","fragilis",0.828,"FRAGILIS",0.12,"Domašov-nad-Bystřicí"
"17250","colchica","I","colchica_fragilis","fragilis",0.058,"FRAGILIS",0.05,"Rejchartice"
"17251","colchica","I","colchica_fragilis","fragilis",0.612,"FRAGILIS",0.03,"Dětřichov-nad-Bystřicí"
"17252","colchica","I","colchica_fragilis","fragilis",0.311,"FRAGILIS",0.05,"Břidličná"
"17253","colchica","I","colchica_fragilis","fragilis",0.309,"FRAGILIS",0.08,"Křišťanovice-1"
"17254","colchica","I","colchica_fragilis","fragilis",0.335,"FRAGILIS",0.13,"Dvorce"
"17255","colchica","I","colchica_fragilis","fragilis",0.265,"FRAGILIS",0.07,"Dvorce"
"17256","colchica","I","colchica_fragilis","fragilis",0.398,"FRAGILIS",0.09,"Norberčany"
"17257","colchica","I","colchica_fragilis","fragilis",0,"FRAGILIS",0.1,"Norberčany"
"17258","colchica","I","colchica_fragilis","fragilis",0.279,"FRAGILIS",0.11,"Norberčany"
"17259","colchica","I","colchica_fragilis","fragilis",0.089,"FRAGILIS",0.07,"Dětřichov-nad-Bystřicí"
"17260","colchica","I","colchica_fragilis","fragilis",0.621,"FRAGILIS",0.0600000000000001,"Břidličná"
"17261","colchica","I","colchica_fragilis","fragilis",0.496,"FRAGILIS",0.16,"Staré-Město-Nová-Véska"
"17262","colchica","I","colchica_fragilis","fragilis",0.317,"FRAGILIS",0.11,"Staré-Město-Nová-Véska"
"17263","colchica","I","colchica_fragilis","fragilis",0.514,"FRAGILIS",0.46,"Železná"
"17264","colchica","I","colchica_fragilis","fragilis",0.345,"FRAGILIS",0.15,"Heřmanovice-2"
"17265","colchica","I","colchica_fragilis","fragilis",0.773,"FRAGILIS",0.15,"Mnichov"
"17266","colchica","I","colchica_fragilis","fragilis",0.61,"FRAGILIS",0.09,"Domašov-nad-Bystřicí"
"17267","colchica","I","colchica_fragilis","fragilis",0.348,"FRAGILIS",0.05,"Dětřichov-nad-Bystřicí"
"17268","colchica","I","colchica_fragilis","fragilis",0.768,"FRAGILIS",0.09,"Břidličná"
"17270","colchica","I","colchica_fragilis","fragilis",0.109,"FRAGILIS",0.08,"Mnichov"
"17271","colchica","I","colchica_fragilis","fragilis",0.481,"FRAGILIS",0.1,"Mnichov"
"17272","colchica","I","colchica_fragilis","fragilis",0.161,"FRAGILIS",0.08,"Mnichov"
"17273","colchica","I","colchica_fragilis","fragilis",0.204,"FRAGILIS",0.12,"Mnichov"
"17274","colchica","I","colchica_fragilis","fragilis",0.492,"FRAGILIS",0.15,"Staré-Město-Nová-Véska"
"17275","colchica","I","colchica_fragilis","fragilis",0.564,"FRAGILIS",0.12,"Staré-Město-Nová-Véska"
"17276","colchica","I","colchica_fragilis","fragilis",0.325,"FRAGILIS",0.21,"Holčovice-Komora"
"17277","colchica","I","colchica_fragilis","fragilis",0.277,"FRAGILIS",0.17,"Holčovice-Komora"
"17278","colchica","I","colchica_fragilis","fragilis",0.623,"FRAGILIS",0.15,"Holčovice-Komora"
"17279","colchica","I","colchica_fragilis","fragilis",0.773,"FRAGILIS",0.44,"Karlova-Studánka"
"17280","colchica","I","colchica_fragilis","fragilis",0.402,"FRAGILIS",0.46,"Karlova-Studánka"
"17281","colchica","I","colchica_fragilis","fragilis",0.212,"FRAGILIS",0.39,"Karlova-Studánka"
"17284","colchica","I","colchica_fragilis","fragilis",0.577,"FRAGILIS",0.49,"Karlova-Studánka"
"17285","colchica","I","colchica_fragilis","fragilis",0.425,"FRAGILIS",0.29,"Petrovice"
"17286","colchica","I","colchica_fragilis","fragilis",0.312,"FRAGILIS",0.31,"Petrovice"
"17287","colchica","I","colchica_fragilis","fragilis",0.655,"FRAGILIS",0.17,"Petrovice"
"17288","colchica","I","colchica_fragilis","fragilis",0.285,"FRAGILIS",0.38,"Petrovice"
"17289","colchica","I","colchica_fragilis","fragilis",0.327,"FRAGILIS",0.04,"Dívčí-Hrad-Sádek"
"17290","colchica","I","colchica_fragilis","fragilis",0.583,"FRAGILIS",0.07,"Dívčí-Hrad-Sádek"
"17291","colchica","I","colchica_fragilis","fragilis",0.172,"FRAGILIS",0.05,"Dívčí-Hrad-Sádek"
"17292","colchica","I","colchica_fragilis","fragilis",0.674,"FRAGILIS",0.16,"Heřmanovice-1"
"17293","colchica","I","colchica_fragilis","fragilis",0.852,"FRAGILIS",0.38,"Heřmanovice-1"
"17294","colchica","I","colchica_fragilis","fragilis",0.658,"FRAGILIS",0.34,"Heřmanovice-1"
"17295","colchica","I","colchica_fragilis","fragilis",0.77,"FRAGILIS",0.31,"Heřmanovice-1"
"17296","colchica","I","colchica_fragilis","fragilis",0.26,"FRAGILIS",0.37,"Heřmanovice-1"
"17297","colchica","I","colchica_fragilis","fragilis",0.091,"FRAGILIS",0.15,"Holčovice-Komora"
"17298","colchica","I","colchica_fragilis","fragilis",0.235,"FRAGILIS",0.18,"Holčovice-Komora"
"17299","colchica","I","colchica_fragilis","fragilis",0.36,"FRAGILIS",0.16,"Holčovice-Komora"
"17300","colchica","I","colchica_fragilis","fragilis",0.559,"FRAGILIS",0.1,"Mnichov"
"17301","colchica","I","colchica_fragilis","fragilis",0.377,"FRAGILIS",0.04,"Hlubočec"
"17302","colchica","I","colchica_fragilis","fragilis",0.185,"FRAGILIS",0.04,"Otice"
"17303","colchica","I","colchica_fragilis","fragilis",0.268,"FRAGILIS",0.0600000000000001,"Krasov"
"17269","colchica","I","colchica_fragilis","fragilis",0.367,"FRAGILIS",0.14,"Mnichov"
"17062","colchica","I","colchica_fragilis","fragilis",0.088,"FRAGILIS",0,"Hostětín"
